date,target,combined_feature,return_label_x,return_label_y,return_x,return_y
2000-07-19,cash,-++-+--++-,-,+,-0.0060631402885218,1e-06
2000-07-20,spy,++-+--++--,+,+,0.0109060402684563,1e-06
2000-07-21,cash,+-+--++--+,-,+,-0.0137729549248747,1e-06
2000-07-24,cash,-+--++--+-,-,+,-0.0086497890295358,1e-06
2000-07-25,cash,+--++--+--,-,+,-0.0029610829103214,1e-06
2000-07-26,cash,--++--+---,-,+,-0.0074420582606846,1e-06
2000-07-27,cash,-++--+----,-,+,-0.0038543897216274,1e-06
2000-07-28,cash,++--+-----,-,+,-0.0248766888269354,1e-06
2000-07-31,spy,+--+------,+,+,0.0004372540445999,1e-06
2000-08-01,spy,--+------+,+,+,0.0017406440382941,1e-06
2000-08-02,spy,-+------++,+,+,0.0049956559513466,1e-06
2000-08-03,spy,+------+++,+,+,0.0190288713910761,1e-06
2000-08-04,spy,------++++,+,+,0.0004271678769756,1e-06
2000-08-07,spy,-----+++++,+,+,0.0095846645367412,1e-06
2000-08-08,spy,----++++++,+,+,0.0080508474576271,1e-06
2000-08-09,cash,---+++++++,-,+,-0.0114195914091147,1e-06
2000-08-10,cash,--+++++++-,-,+,-0.0055073077737767,1e-06
2000-08-11,spy,-+++++++--,+,+,0.0053282182438192,1e-06
2000-08-14,spy,+++++++--+,+,+,0.0101501374497779,1e-06
2000-08-15,cash,++++++--++,-,+,-0.0012554927809165,1e-06
2000-08-16,cash,+++++--++-,-,+,-0.00460443700293,1e-06
2000-08-17,spy,++++--++--,+,+,0.0100882723833543,1e-06
2000-08-18,cash,+++--++--+,-,+,-0.0045719035743973,1e-06
2000-08-21,spy,++--++--+-,+,+,0.0031243490939387,1e-06
2000-08-22,cash,+--++--+-+,-,+,-0.0020755500207555,1e-06
2000-08-23,spy,--++--+-+-,+,+,0.006883604505632,1e-06
2000-08-24,spy,-++--+-+-+,+,+,0.0010336985734959,1e-06
2000-08-25,spy,++--+-+-++,+,+,0.0006202191440975,1e-06
2000-08-28,spy,+--+-+-+++,+,+,0.0034090909090909,1e-06
2000-08-29,spy,--+-+-++++,+,+,0.0023730912092447,1e-06
2000-08-30,cash,-+-+-+++++,-,+,-0.0064023130937629,1e-06
2000-08-31,spy,+-+-+++++-,+,+,0.0084815887463798,1e-06
2000-09-01,cash,-+-+++++-+,-,+,-0.0048939641109298,1e-06
2000-09-05,cash,+-+++++-+-,-,+,-0.0039094650205761,1e-06
2000-09-06,cash,-+++++-+--,-,+,-0.010748243075651,1e-06
2000-09-07,spy,+++++-+---,+,+,0.0039517470881863,1e-06
2000-09-08,cash,++++-+---+,-,+,-0.0031191515907673,1e-06
2000-09-11,cash,+++-+---+-,-,+,-0.0010434056761268,1e-06
2000-09-12,cash,++-+---+--,-,+,-0.008347245409015,1e-06
2000-09-13,spy,+-+---+---,+,+,0.0060177364864864,1e-06
2000-09-14,cash,-+---+---+,-,+,-0.0015638031693077,1e-06
2000-09-15,cash,+---+---+-,-,+,-0.0147617039223956,1e-06
2000-09-18,cash,---+---+--,-,+,-0.0117421007685738,1e-06
2000-09-19,spy,--+---+---,+,+,0.005813953488372,1e-06
2000-09-20,cash,-+---+---+,-,+,-0.0054697554697554,1e-06
2000-09-21,cash,+---+---+-,-,+,-0.0123296560674886,1e-06
2000-09-22,spy,---+---+--,+,+,0.018624014022787,1e-06
2000-09-25,cash,--+---+--+,-,+,-0.0115631691648822,1e-06
